,Occurence Year,Occurence Month,Occurence Date,Crime Count
121,2016,January,2016-01-01,161
122,2016,January,2016-01-02,66
123,2016,January,2016-01-03,64
124,2016,January,2016-01-04,53
125,2016,January,2016-01-05,72
126,2016,January,2016-01-06,69
127,2016,January,2016-01-07,61
128,2016,January,2016-01-08,78
129,2016,January,2016-01-09,72
130,2016,January,2016-01-10,69
131,2016,January,2016-01-11,75
132,2016,January,2016-01-12,54
133,2016,January,2016-01-13,60
134,2016,January,2016-01-14,74
135,2016,January,2016-01-15,93
136,2016,January,2016-01-16,71
137,2016,January,2016-01-17,81
138,2016,January,2016-01-18,77
139,2016,January,2016-01-19,63
140,2016,January,2016-01-20,80
141,2016,January,2016-01-21,66
142,2016,January,2016-01-22,71
143,2016,January,2016-01-23,67
144,2016,January,2016-01-24,87
145,2016,January,2016-01-25,88
146,2016,January,2016-01-26,79
147,2016,January,2016-01-27,69
148,2016,January,2016-01-28,68
149,2016,January,2016-01-29,67
150,2016,January,2016-01-30,78
151,2016,January,2016-01-31,59
92,2016,February,2016-02-01,95
93,2016,February,2016-02-02,71
94,2016,February,2016-02-03,74
95,2016,February,2016-02-04,76
96,2016,February,2016-02-05,66
97,2016,February,2016-02-06,75
98,2016,February,2016-02-07,77
99,2016,February,2016-02-08,79
100,2016,February,2016-02-09,70
101,2016,February,2016-02-10,71
102,2016,February,2016-02-11,73
103,2016,February,2016-02-12,72
104,2016,February,2016-02-13,77
105,2016,February,2016-02-14,63
106,2016,February,2016-02-15,68
107,2016,February,2016-02-16,70
108,2016,February,2016-02-17,58
109,2016,February,2016-02-18,90
110,2016,February,2016-02-19,94
111,2016,February,2016-02-20,101
112,2016,February,2016-02-21,83
113,2016,February,2016-02-22,71
114,2016,February,2016-02-23,79
115,2016,February,2016-02-24,58
116,2016,February,2016-02-25,69
117,2016,February,2016-02-26,73
118,2016,February,2016-02-27,77
119,2016,February,2016-02-28,64
120,2016,February,2016-02-29,76
213,2016,March,2016-03-01,91
214,2016,March,2016-03-02,63
215,2016,March,2016-03-03,67
216,2016,March,2016-03-04,71
217,2016,March,2016-03-05,84
218,2016,March,2016-03-06,76
219,2016,March,2016-03-07,73
220,2016,March,2016-03-08,66
221,2016,March,2016-03-09,84
222,2016,March,2016-03-10,76
223,2016,March,2016-03-11,74
224,2016,March,2016-03-12,81
225,2016,March,2016-03-13,72
226,2016,March,2016-03-14,72
227,2016,March,2016-03-15,79
228,2016,March,2016-03-16,79
229,2016,March,2016-03-17,78
230,2016,March,2016-03-18,88
231,2016,March,2016-03-19,66
232,2016,March,2016-03-20,74
233,2016,March,2016-03-21,68
234,2016,March,2016-03-22,78
235,2016,March,2016-03-23,73
236,2016,March,2016-03-24,63
237,2016,March,2016-03-25,65
238,2016,March,2016-03-26,79
